Municipio;Estado Scraping;Nombre;Cargo;Partido;Email;URL Perfil;URL Origen
Agaete;error;SIN DATOS;No se extrajeron datos de IA;;;;https://www.agaete.es
Agüimes;error;SIN DATOS;No se extrajeron datos de IA;;;;https://www.aguimes.es
Artenara;error;SIN DATOS;No se extrajeron datos de IA;;;;https://www.artenara.es
Arucas;error;SIN DATOS;No se extrajeron datos de IA;;;;https://www.arucas.org
Firgas;error;SIN DATOS;No se extrajeron datos de IA;;;;https://www.firgas.es
Gáldar;success;Teodoro C. Sosa Monzón;Alcalde-presidente;BNR-NC;alcaldia@galdar.es;/biografia-teodoro-sosa-monzon/;https://www.galdar.es
Gáldar;success;Julio Mateo Castillo;Concejal de presidencia (contratación, secretaría, registro, asesoría jurídica, relaciones institucionales), de cultura y fiestas.;BNR-NC;cultura@galdar.es;/biografia-julio-mateo-castillo/;https://www.galdar.es
Gáldar;success;Valeria Guerra Mendoza;Concejala de hacienda, patrimonio, catastro y policía local;BNR-NC;vguerra@galdar.es;/biografia-valeria-guerra-mendoza/;https://www.galdar.es
Gáldar;success;Carlos Ruiz Moreno;Concejal de patrimonio histórico, archivo y biblioteca, identidad, medianías, fundación canaria ciudad de gáldar, museos, escuela de música e i+d+i;BNR-NC;cmruiz@galdar.es;/biografia-de-d-carlos-ruiz-moreno/;https://www.galdar.es
Gáldar;success;Ana Teresa Mendoza Jiménez;Concejala de servicios sociales (centro ocupacional y hogar funcional), sanidad, igualdad y solidaridad;BNR-NC;atmendoza@galdar.es;/biografia-ana-teresa-mendoza-jimenez/;https://www.galdar.es
Gáldar;success;Agustín Martín Ojeda;Concejal de desarrollo local (agricultura, ganadería y pesca) y empleo;BNR-NC;amartin@galdar.es;/biografia-agustin-martin-ojeda/;https://www.galdar.es
Gáldar;success;Idaira Mateos Moreno;Concejala de recursos humanos, cementerio y tanatorio, galobra sau (aparcamientos municipales);BNR-NC;galobra@galdar.es;/biografia-de-dona-idaira-chaxiraxi-mateos-moreno/;https://www.galdar.es
Gáldar;success;Heriberto José Reyes Sánchez;Concejal de urbanismo y accesibilidad;BNR-NC;urbanismo@galdar.es;/biografia-heriberto-jose-reyes-sanchez/;https://www.galdar.es
Gáldar;success;Rita María Cabrera Cruz;Concejala de educación, universidad popular y escuela infantil;BNR-NC;rmcabrera@galdar.es;/biografia-de-dona-rita-maria-cabrera-cruz/;https://www.galdar.es
Gáldar;success;Ulises David Miranda Guerra;Concejal de comunicación, transparencia, turismo, medio ambiente, nuevas tecnologías y administración electrónica;BNR-NC;udmiranda@galdar.es;/biografia-de-d-ulises-d-miranda-guerra/;https://www.galdar.es
Gáldar;success;Dolores Delgado Jorge;Concejala de política del mayor (centro de día, residencia, programa de mayores acompañados, servicio de ayuda a domicilio, servicio de promoción de la autonomía personal y envejecimiento activo);BNR-NC;ddelgado@galdar.es;/biografia-de-dna-dolores-delgado-jorge/;https://www.galdar.es
Gáldar;success;Nicolás Mederos Díaz;Concejal de parques y jardines y embellecimiento;BNR-NC;nmederos@galdar.es;/biografia-de-d-nicolas-pino-mederos-diaz/;https://www.galdar.es
Gáldar;success;Ancor Bolaños Delgado;Concejal de actividad física, deporte y salud;BNR-NC;abolanos@galdar.es;/biografia-ancor-bolanos-delgado/;https://www.galdar.es
Gáldar;success;Nuria Esther Vega Valencia;Concejala de prevención de adicciones, participación ciudadana, asociaciones de vecinos, barrios y playas;BNR-NC;nvega@galdar.es;/biografia-nuria-esther-vega-valencia/;https://www.galdar.es
